Avocado ID,Temperature,Humidity,Pressure,Gas Resistance,CO2,Day,Label,Time,BOX TYPE,,
1,31.6,78.7,1008.7,153.2,4660,6,0,158,1,,
2,31.4,78.8,1008.5,340.8,3871,6,0,158,1,,
3,31.8,79.9,1008.8,299.7,3453,6,0,158,1,,
6,31.5,79.2,1008.5,316.5,3683,6,0,158,1,,
1,31.2,80.1,1009.2,153.3,4667,6,0,159,1,,
2,30.8,79.7,1008.5,338.2,3876,6,0,159,1,,
3,31,80.9,1008.5,299.7,3517,6,0,159,1,,
6,31.1,79.5,1008.5,321.9,3718,6,0,159,1,,
1,30.7,79.5,1008.8,153,4740,6,0,160,1,,
2,30.5,81,1009.1,330.7,3856,6,0,160,1,,
3,30.8,80.4,1008.7,298.6,3561,6,0,160,1,,
6,30.5,80.6,1008.8,324.9,3692,6,0,160,1,,
1,30.1,81.4,1008.7,150,4774,6,0,161,1,,
2,30.2,81.8,1008.6,329.9,3822,6,0,161,1,,
3,29.5,82,1008.4,297.3,3551,6,0,161,1,,
6,30.5,80.9,1008.4,326.4,3729,6,0,161,1,,
1,29.7,82.4,1008.5,153.7,4732,6,0,162,1,,
2,29,82.7,1008.3,336.1,3844,6,0,162,1,,
3,29.7,81.2,1008.7,302.8,3513,6,0,162,1,,
4,29,79.5,1004.9,382.1,4000,5,0,162,1,,
5,29.5,80.2,1005.1,345.8,3820,5,0,162,1,,
6,30.3,81.4,1008.8,324.6,3750,6,0,162,1,,
7,29.2,79.7,1005.2,325.7,3990,5,0,162,1,,
1,29,83.9,1008.4,151.6,4734,6,0,163,1,,
2,29.1,83.1,1008.5,336.6,3838,6,0,163,1,,
3,28.9,82.4,1008.7,302.3,3497,6,0,163,1,,
4,29.4,83.5,1008.7,387,3951,6,0,163,1,,
5,28.7,83,1008.3,341.8,3860,6,0,163,1,,
6,28.4,82.1,1008.4,324.2,3729,6,0,163,1,,
7,28.7,82.8,1008.8,324.6,3961,6,0,163,1,,
1,28.1,82.7,1008.5,150,4748,6,0,164,1,,
2,28.4,83.5,1008.3,333.2,3809,6,0,164,1,,
3,28.4,84.4,1008.5,303.9,3461,6,0,164,1,,
4,28.1,83.1,1008.6,383.5,3975,6,0,164,1,,
5,28.1,84.2,1008.5,335.9,3884,6,0,164,1,,
6,28.4,84,1008.6,328.4,3739,6,0,164,1,,
7,28.3,83.6,1008.5,326.8,3999,6,0,164,1,,
1,27.5,84.9,1008.3,150,4772,6,0,165,1,,
2,28,83.8,1008,333.6,3855,6,0,165,1,,
3,27.4,84.4,1008.7,304.4,3454,6,0,165,1,,
4,28.1,84.5,1008.5,380.1,3950,6,0,165,1,,
5,27.6,84.5,1008.4,330.9,3887,6,0,165,1,,
6,27.4,84.8,1008.3,330.5,3784,6,0,165,1,,
7,27.6,83.8,1008.2,328.3,4050,6,0,165,1,,
1,27,84.7,1008.6,150,4777,6,0,166,1,,
2,27.6,84.3,1008,332.5,3850,6,0,166,1,,
3,27.3,84,1008.5,306.5,3444,6,0,166,1,,
4,27.7,85,1008.3,378.4,3891,6,0,166,1,,
5,28,84.8,1008.3,333.7,3890,6,0,166,1,,
6,27.5,83.8,1008.2,333.9,3777,6,0,166,1,,
7,27.2,84.5,1008.6,329.3,4070,6,0,166,1,,
1,27.2,85.3,1008,150,4792,6,0,167,1,,
2,26.8,85.2,1008.7,332.4,3855,6,0,167,1,,
3,26.9,85,1008.2,305.7,3510,6,0,167,1,,
4,26.8,85.9,1008,378.6,3922,6,0,167,1,,
5,27.1,84.4,1008.3,336.4,3863,6,0,167,1,,
6,27.1,85.3,1008.4,334.1,3769,6,0,167,1,,
7,26.7,85.2,1008.1,325.3,4067,6,0,167,1,,
1,27.1,85.1,1008.3,150,4798,7,0,168,1,,
2,26.7,85.7,1008.2,329.9,3858,7,0,168,1,,
3,26.9,84.8,1008.1,307.4,3507,7,0,168,1,,
4,26.6,85.1,1008.4,378.2,4009,7,0,168,1,,
5,27.4,85,1008.1,338.9,3851,7,0,168,1,,
6,26.9,85.4,1008.4,332.7,3799,7,0,168,1,,
7,26.8,84.9,1008,327.7,4108,7,0,168,1,,
1,27.2,85.3,1008.2,150,4829,7,0,169,1,,
2,27.2,85,1008.5,330.3,3849,7,0,169,1,,
3,26.7,84.1,1008.3,307.3,3513,7,0,169,1,,
4,26.6,85.4,1008.2,380.1,4023,7,0,169,1,,
5,27.3,84.8,1008.2,340,3857,7,0,169,1,,
6,26.6,84.7,1008.4,329.9,3854,7,0,169,1,,
7,26.5,85.4,1008,329.7,4114,7,0,169,1,,
1,27.7,84.1,1008.4,153,4804,7,0,170,1,,
2,27.5,84.8,1007.9,333,3841,7,0,170,1,,
3,27.5,84.3,1008.4,300.8,3543,7,0,170,1,,
4,27.1,84.7,1007.8,381.5,4033,7,0,170,1,,
5,26.7,84,1008.4,339.2,3839,7,0,170,1,,
6,26.9,84.5,1008.1,328.7,3894,7,0,170,1,,
7,27.3,84.5,1008.4,325.4,4139,7,0,170,1,,
1,27.9,84.6,1008,153,4762,7,0,171,1,,
2,27.6,84.5,1008.4,330.2,3865,7,0,171,1,,
3,27.5,83.8,1007.9,300.4,3552,7,0,171,1,,
4,27.9,84.7,1008.3,381.6,4007,7,0,171,1,,
5,27.3,83.6,1007.8,338.5,3818,7,0,171,1,,
6,27.4,83.9,1008.3,328.3,3897,7,0,171,1,,
7,28.1,84.5,1008.7,323.2,4175,7,0,171,1,,
1,28,83.5,1008.3,153.3,4787,7,0,172,1,,
2,28.1,84.4,1008.1,330.1,3842,7,0,172,1,,
3,28.2,83.6,1008.4,305.7,3508,7,0,172,1,,
4,28,84.1,1008.5,380.4,4010,7,0,172,1,,
5,28,83.5,1008.3,344.3,3770,7,0,172,1,,
6,28,83.5,1008.5,322.9,3874,7,0,172,1,,
7,28.2,84.1,1008.2,321.5,4222,7,0,172,1,,
1,29.7,82.8,1008,152.8,4757,7,0,173,1,,
2,29.5,82.2,1008.4,327.2,3831,7,0,173,1,,
3,28.6,83.3,1008.4,304.3,3553,7,0,173,1,,
4,28.6,83.4,1008.4,385.8,3984,7,0,173,1,,
5,29.2,83.3,1008.1,344.5,3754,7,0,173,1,,
6,28.3,83,1008.5,321.7,3842,7,0,173,1,,
7,28.7,82.1,1008.2,322.8,4271,7,0,173,1,,
1,29.8,81.5,1008.4,151.6,4778,7,0,174,1,,
2,29.6,82.6,1008.7,321.8,3840,7,0,174,1,,
3,29.4,81.3,1008.3,300,3567,7,0,174,1,,
4,29.4,82.1,1008.5,384.8,3959,7,0,174,1,,
5,29.6,82.8,1008.5,345.6,3738,7,0,174,1,,
6,29.2,81.9,1008.3,323.8,3819,7,0,174,1,,
7,29.5,82.7,1008.1,320.9,4270,7,0,174,1,,
1,30.3,81.2,1008.3,150,4764,7,0,175,1,,
2,30.6,80.4,1008.5,321,3852,7,0,175,1,,
3,30.4,81,1007.9,300,3583,7,0,175,1,,
4,30,81.4,1008.2,382.1,3961,7,0,175,1,,
5,30.1,81.8,1008.3,344.2,3719,7,0,175,1,,
6,30.3,81.1,1008.3,322.2,3828,7,0,175,1,,
7,30.1,81,1008.3,323.2,4264,7,0,175,1,,
1,31,80.6,1008.3,150.1,4775,7,0,176,1,,
2,30.5,79.8,1008.1,323.2,3886,7,0,176,1,,
3,30.9,81.1,1008.3,301.5,3622,7,0,176,1,,
4,30.7,80.5,1008.6,379.1,3963,7,0,176,1,,
5,30.4,80.9,1008.9,342.6,3696,7,0,176,1,,
6,31,80.4,1008.3,324.6,3799,7,0,176,1,,
7,31.3,80.4,1008.5,322.7,4274,7,0,176,1,,
1,31,80,1008.6,150,4785,7,0,177,1,,
2,31.4,79.6,1008.3,324.2,3853,7,0,177,1,,
3,30.7,80,1008.5,300.7,3635,7,0,177,1,,
4,31.7,79.1,1008.3,376.9,3955,7,0,177,1,,
5,31,79.5,1008.9,340.1,3675,7,0,177,1,,
6,31.3,79.9,1008.5,322.5,3815,7,0,177,1,,
7,31.1,80.5,1008.3,320,4364,7,0,177,1,,
1,31.8,79.9,1008.9,150,4757,7,0,178,1,,
2,31.5,79.1,1008.6,321.1,3854,7,0,178,1,,
3,31.5,79.1,1008.7,296.9,3605,7,0,178,1,,
4,31.5,80.1,1008.2,380.3,3966,7,0,178,1,,
5,31.3,79.5,1008.6,336.2,3646,7,0,178,1,,
6,30.6,80,1008.5,323.1,3824,7,0,178,1,,
7,31.4,78.7,1008.8,313.2,4365,7,0,178,1,,
1,32.1,79.4,1008.8,161.1,4773,7,0,179,1,,
2,31.7,79.5,1008.9,320.7,3869,7,0,179,1,,
3,32.1,78.5,1008.8,297.7,3556,7,0,179,1,,
4,31.6,78.6,1009,377.1,3933,7,0,179,1,,
5,32.4,79.1,1008.7,336.1,3685,7,0,179,1,,
6,32.3,79.2,1008.5,317.7,3811,7,0,179,1,,
7,32.6,78.3,1008.3,308.1,4399,7,0,179,1,,
1,32.3,79.5,1008.9,159.7,4796,7,0,180,1,,
2,32.6,78.4,1008.5,322,3927,7,0,180,1,,
3,31.8,79.6,1008.6,295.8,3573,7,0,180,1,,
4,32.3,79.2,1008.6,377.3,3903,7,0,180,1,,
5,31.7,78.8,1008.7,330.6,3655,7,0,180,1,,
6,31.4,78.7,1008.7,315,3810,7,0,180,1,,
7,32.3,78.7,1008.9,311.8,4460,7,0,180,1,,
1,32,78.7,1008.8,157.6,4741,7,0,181,1,,
2,31.8,80,1008.8,319.3,3898,7,0,181,1,,
3,32.1,79,1008.7,299.5,3628,7,0,181,1,,
4,32.2,79.6,1008.9,378,3957,7,0,181,1,,
5,32.2,79.5,1009,328.4,3638,7,0,181,1,,
6,31.8,78.9,1008.3,310.5,3828,7,0,181,1,,
7,31.8,78,1008.6,309.9,4459,7,0,181,1,,
1,31.8,79.2,1009,157.3,4709,7,0,182,1,,
2,31.9,78.9,1008.8,323.3,3889,7,0,182,1,,
3,32,79.4,1008.6,296.4,3647,7,0,182,1,,
4,31.7,78.8,1008.9,383.8,3927,7,0,182,1,,
5,31.1,79.9,1009,331.2,3684,7,0,182,1,,
6,31.9,78.5,1008.6,313.1,3804,7,0,182,1,,
7,31.6,80,1009.1,308.8,4500,7,0,182,1,,
1,31.4,79.2,1009.3,162.4,4749,7,0,183,1,,
2,31.7,79.3,1008.7,318.3,3891,7,0,183,1,,
3,31.4,80.6,1008.9,291.4,3681,7,0,183,1,,
4,31.2,80.1,1008.8,380.5,3962,7,0,183,1,,
5,31.4,80.7,1008.7,325.5,3707,7,0,183,1,,
6,31.2,80.6,1008.7,311,3797,7,0,183,1,,
7,31.4,79.9,1009,308.5,4569,7,0,183,1,,
1,31,79.5,1008.8,159.9,4774,7,0,184,1,,
2,31,80.5,1009,315.3,3899,7,0,184,1,,
3,30.5,80.3,1008.8,296.8,3777,7,0,184,1,,
4,31.4,80.6,1008.6,375.4,3970,7,0,184,1,,
5,30.2,80.6,1009,326,3772,7,0,184,1,,
6,31.3,80.7,1008.8,308.8,3811,7,0,184,1,,
7,30.3,80.2,1008.7,309.3,4614,7,0,184,1,,
1,29.9,82.1,1008.6,158.5,4783,7,0,185,1,,
2,30,81.4,1008.8,316.3,3867,7,0,185,1,,
3,30.3,81.1,1008.8,298.9,3771,7,0,185,1,,
4,30.5,81.5,1008.7,373.2,3939,7,0,185,1,,
5,29.6,81.2,1008.7,321.6,3735,7,0,185,1,,
6,30.3,80.7,1008.8,307.7,3810,7,0,185,1,,
7,30.1,80.5,1008.9,311,4563,7,0,185,1,,
1,29,81.4,1008.8,164.4,4813,7,0,186,1,,
2,29.2,81.6,1008.6,315.8,3888,7,0,186,1,,
3,30,82.1,1008.7,300.3,3786,7,0,186,1,,
4,29.8,82.5,1008.3,377.6,3957,7,0,186,1,,
5,29.2,81.5,1008.6,319.4,3742,7,0,186,1,,
6,29.2,81.8,1008.4,303.8,3819,7,0,186,1,,
7,29.5,81.2,1008.5,307.7,4595,7,0,186,1,,
1,28.4,82.5,1008.8,161.8,4826,7,0,187,1,,
2,28.5,81.7,1008.7,322.5,3888,7,0,187,1,,
3,28.7,83,1008.3,296.1,3821,7,0,187,1,,
4,29.3,82.1,1008.3,376.7,3973,7,0,187,1,,
5,29,83.1,1008.5,319.8,3770,7,0,187,1,,
6,28.5,81.7,1008.4,303.7,3820,7,0,187,1,,
7,28.9,82.1,1008.8,302.9,4612,7,0,187,1,,
1,28.5,83,1008.5,151.6,4795,7,0,188,1,,
2,28.5,83.3,1008.6,320.4,3924,7,0,188,1,,
3,28.5,83.5,1008.6,292.3,3812,7,0,188,1,,
4,28.8,83.9,1008.5,373.3,4011,7,0,188,1,,
5,28.4,84.4,1008.7,324.6,3693,7,0,188,1,,
6,28.3,84,1008.2,304.5,3811,7,0,188,1,,
7,28,83.3,1008.6,303.9,4660,7,0,188,1,,
1,27.7,83.5,1008.7,150,4781,7,0,189,1,,
2,27.8,84.3,1008.3,322.7,3919,7,0,189,1,,
3,27.5,84.8,1008.4,293.1,3838,7,0,189,1,,
4,27.4,84.9,1008.4,377.6,4032,7,0,189,1,,
5,27.8,84,1008.4,321.7,3702,7,0,189,1,,
6,27.5,84.2,1008.4,301.4,3783,7,0,189,1,,
7,27.7,84.3,1008.3,303.8,4680,7,0,189,1,,
1,27.4,85.3,1008.1,153,4781,7,0,190,1,,
2,27.1,84.1,1008.6,322.1,3924,7,0,190,1,,
3,27,84.8,1008.4,292.5,3821,7,0,190,1,,
4,27.3,84.3,1008.3,378.5,4035,7,0,190,1,,
5,26.8,84.8,1008.2,319.8,3713,7,0,190,1,,
6,26.9,84.8,1008.1,300.8,3799,7,0,190,1,,
7,27.3,83.7,1008.4,304.4,4667,7,0,190,1,,
1,26.8,85.1,1008.3,150.8,4782,7,0,191,1,,
2,27.1,85.3,1008.6,323,3925,7,0,191,1,,
3,27,85,1008.3,296.1,3794,7,0,191,1,,
4,26.9,84.8,1008.3,371.7,4050,7,0,191,1,,
5,27.1,85.4,1008.1,319.1,3737,7,0,191,1,,
6,27.1,84.5,1008.5,298.9,3757,7,0,191,1,,
7,26.7,85.6,1008.4,303.1,4640,7,0,191,1,,
1,26.9,85.1,1008.4,155,4745,8,0,192,1,,
2,26.6,84.8,1008,323.8,3927,8,0,192,1,,
3,26.9,84.8,1008.1,297.7,3786,8,0,192,1,,
4,26.7,84.4,1007.9,365.9,4010,8,0,192,1,,
5,27.1,85.2,1008.5,317.5,3715,8,0,192,1,,
6,26.9,85.3,1008.1,301,3732,8,0,192,1,,
7,26.8,85.7,1008.3,300.9,4663,8,0,192,1,,
1,27.3,84.9,1008.3,154.3,4730,8,0,193,1,,
2,26.5,84.6,1007.6,323.9,3935,8,0,193,1,,
3,27.4,85.2,1008.3,293,3825,8,0,193,1,,
4,27.7,84.5,1008.2,367,4085,8,0,193,1,,
5,27.1,85.2,1008.3,319.6,3722,8,0,193,1,,
6,26.9,84.4,1008.3,300.2,3700,8,0,193,1,,
7,26.7,84.1,1008.2,297.3,4600,8,0,193,1,,
1,27.4,84.3,1008.4,154.9,4708,8,0,194,1,,
2,27.1,84.9,1007.9,320.2,3948,8,0,194,1,,
3,27.4,84.4,1008.2,287.1,3840,8,0,194,1,,
4,27.2,83.8,1008,365.8,4057,8,0,194,1,,
5,27.2,83.9,1008.4,320.1,3715,8,0,194,1,,
6,27.2,83.1,1008.4,299,3626,8,0,194,1,,
7,27.2,84.7,1008.1,292.7,4599,8,0,194,1,,
1,27.8,84.4,1008.1,157,4724,8,0,195,1,,
2,27.5,84.1,1008.1,318.3,3937,8,0,195,1,,
3,27.4,83.4,1007.9,289.9,3824,8,0,195,1,,
4,27.5,84.5,1008.2,363.3,4088,8,0,195,1,,
5,28.1,84.6,1008.3,322.9,3686,8,0,195,1,,
6,27.3,83.9,1007.9,300.8,3636,8,0,195,1,,
7,27.7,84.8,1008.4,288,4577,8,0,195,1,,
1,28,83.5,1008.3,160.4,4706,8,0,196,1,,
2,28,83.7,1008.1,317.6,3916,8,0,196,1,,
3,28.7,83.2,1007.9,286,3864,8,0,196,1,,
4,28.3,84.1,1008.1,360.5,4091,8,0,196,1,,
5,28.4,83.4,1008.4,322.1,3672,8,0,196,1,,
6,28.4,82.2,1008.1,298.1,3606,8,0,196,1,,
7,28,83.1,1008.1,280.7,4595,8,0,196,1,,
1,29.3,82.6,1008.2,160.7,4706,8,0,197,1,,
2,28.4,83.2,1008.4,323.7,3885,8,0,197,1,,
3,28.8,82.5,1008.3,286.9,3900,8,0,197,1,,
4,28.8,83.2,1008.1,358.7,4085,8,0,197,1,,
5,29,83.2,1008.2,321.5,3637,8,0,197,1,,
6,28.7,82.2,1008.3,299.8,3624,8,0,197,1,,
7,28.4,82.3,1008.2,276.4,4636,8,0,197,1,,
1,29.8,82.3,1008.3,161.2,4701,8,0,198,1,,
2,29.4,81.9,1008.5,321.4,3850,8,0,198,1,,
3,29.9,81.8,1008.1,285.1,3911,8,0,198,1,,
4,29.2,82.3,1008.6,365.1,4074,8,0,198,1,,
5,28.8,82.1,1008.5,321.9,3576,8,0,198,1,,
6,29.5,83,1008.6,298.8,3608,8,0,198,1,,
7,29.1,81.7,1008.4,274.7,4606,8,0,198,1,,
1,30.2,81.5,1008.3,167,4671,8,0,199,1,,
2,30.3,81.6,1008.3,312.9,3834,8,0,199,1,,
3,30,80.4,1008.2,284.8,3959,8,0,199,1,,
4,30.3,81.5,1008.5,364.4,4088,8,0,199,1,,
5,30,80.1,1008.7,318.2,3611,8,0,199,1,,
6,30.4,81.9,1008.3,297.4,3574,8,0,199,1,,
7,30.1,81.5,1008.2,276.5,4588,8,0,199,1,,
1,30.4,81.1,1008.7,168.4,4689,8,0,200,1,,
2,30.9,80,1008.5,306.2,3896,8,0,200,1,,
3,30.6,79.6,1008.3,279.7,3943,8,0,200,1,,
4,30,80.8,1008.5,363.3,4150,8,0,200,1,,
5,31,80,1008.3,318.9,3583,8,0,200,1,,
6,30.7,79.5,1008.4,296.7,3620,8,0,200,1,,
7,30.6,80.8,1008.4,276.1,4585,8,0,200,1,,
1,31.3,79.4,1008.6,165.9,4718,8,0,201,1,,
2,31.3,79.4,1008.5,302.8,3891,8,0,201,1,,
3,30.7,79.8,1008.8,275.3,3948,8,0,201,1,,
4,31.1,79.7,1009,360.4,4135,8,0,201,1,,
5,31.3,79.6,1008.2,311.8,3587,8,0,201,1,,
6,31.4,80,1008.5,296.5,3663,8,0,201,1,,
7,31.3,78.7,1008.2,277.4,4624,8,0,201,1,,
1,31.6,79,1008.6,166.7,4700,8,0,202,1,,
2,32.2,79,1008.2,302.9,3898,8,0,202,1,,
3,31.8,79.1,1008.6,279.8,3991,8,0,202,1,,
4,31.6,79.8,1008.7,356.1,4120,8,0,202,1,,
5,31.5,79.1,1008.8,314.9,3576,8,0,202,1,,
